"","td","code","target"
"657","T003","A207",1
"658","T003","A210",1
"659","T003","A214",1
"660","T003","A216",4
"661","T003","A217",4
"662","T003","A219",2
"663","T003","A223",1
"664","T003","A230",0
"665","T003","A232",4
"666","T003","A236",0
"667","T003","A237",2
"668","T003","A238",1
"669","T003","A239",1
"670","T003","A244",2
"671","T003","A245",2
"672","T003","A249",0
"673","T003","A250",2
"674","T003","A252",2
"675","T003","A253",3
"676","T003","A254",1
"677","T003","A257",0
"678","T003","A260",4
"679","T003","A261",1
"680","T003","A265",1
"681","T003","A270",4
"682","T003","A271",2
"683","T003","A272",0
"684","T003","A280",2
"685","T003","A284",1
"686","T003","A287",4
"687","T003","A298",4
"688","T003","A303",0
"689","T003","A304",3
"690","T003","A305",3
"691","T003","A306",2
"692","T003","A308",1
"693","T003","A310",3
"694","T003","A314",1
"695","T003","A319",4
"696","T003","A320",0
"697","T003","A322",4
"698","T003","A324",1
"699","T003","A325",0
"700","T003","A327",0
"701","T003","A329",1
"702","T003","A333",3
"703","T003","A340",3
"704","T003","A343",1
"705","T003","A349",0
"706","T003","A352",1
"707","T003","A355",3
"708","T003","A358",0
"709","T003","A360",0
"710","T003","A361",2
"711","T003","A363",0
"712","T003","A365",3
"713","T003","A366",2
"714","T003","A369",3
"715","T003","A370",0
"716","T003","A376",2
"717","T003","A377",1
"718","T003","A378",3
"719","T003","A379",4
"720","T003","A390",4
"721","T003","A391",2
"722","T003","A392",3
"723","T003","A394",3
"724","T003","A399",3
"725","T003","A400",3
"726","T003","A410",1
"727","T003","A417",0
"728","T003","A419",2
"729","T003","A421",0
"730","T003","A422",1
"731","T003","A424",3
"732","T003","A426",4
"733","T003","A429",2
"734","T003","A430",3
"735","T003","A432",3
"736","T003","A433",3
"737","T003","A437",1
"738","T003","A441",4
"739","T003","A442",3
"740","T003","A443",0
"741","T003","A444",4
"742","T003","A445",3
"743","T003","A447",2
"744","T003","A455",0
"745","T003","A457",1
"746","T003","A464",4
"747","T003","A468",3
"748","T003","A469",3
"749","T003","A473",4
"750","T003","A478",2
"751","T003","A483",4
"752","T003","A485",2
"753","T003","A488",1
"754","T003","A489",4
"755","T003","A491",4
"756","T003","A496",4
"757","T003","A497",3
"758","T003","A501",4
"759","T003","A502",2
"760","T003","A504",2
"761","T003","A505",4
"762","T003","A506",2
"763","T003","A507",3
"764","T003","A509",1
"765","T003","A513",0
"766","T003","A517",2
"767","T003","A518",0
"768","T003","A520",4
"769","T003","A522",4
"770","T003","A523",0
"771","T003","A529",2
"772","T003","A530",0
"773","T003","A537",0
"774","T003","A538",0
"775","T003","A540",0
"776","T003","A541",4
"777","T003","A548",3
"778","T003","A549",4
"779","T003","A551",3
"780","T003","A552",4
"781","T003","A553",2
"782","T003","A557",1
"783","T003","A558",4
"784","T003","A564",0
"785","T003","A565",2
"786","T003","A566",3
"787","T003","A574",1
"788","T003","A581",1
"789","T003","A587",4
"790","T003","A591",1
"791","T003","A594",0
"792","T003","A599",3
"793","T003","A606",3
"794","T003","A609",0
"795","T003","A610",2
"796","T003","A614",1
"797","T003","A616",1
"798","T003","A618",2
"799","T003","A619",3
"800","T003","A620",1
"801","T003","A627",1
"802","T003","A628",1
"803","T003","A632",4
"804","T003","A636",3
"805","T003","A637",4
"806","T003","A640",3
"807","T003","A641",2
"808","T003","A643",4
"809","T003","A645",4
"810","T003","A647",0
"811","T003","A648",2
"812","T003","A649",3
"813","T003","A652",1
"814","T003","A653",1
"815","T003","A658",3
"816","T003","A659",3
"817","T003","A662",4
"818","T003","A663",4
"819","T003","A664",3
"820","T003","A666",2
"821","T003","A668",0
"822","T003","A670",1
"823","T003","A673",0
"824","T003","A675",3
"825","T003","A683",4
"826","T003","A687",0
"827","T003","A688",1
"828","T003","A690",2
"829","T003","A692",1
"830","T003","A694",1
"831","T003","A696",4
"832","T003","A697",1
"833","T003","A698",1
"834","T003","A699",3
"835","T003","A701",4
"836","T003","A708",3
"837","T003","A709",0
"838","T003","A711",2
"839","T003","A719",4
"840","T003","A722",3
"841","T003","A724",0
"842","T003","A727",2
"843","T003","A732",3
"844","T003","A733",3
"845","T003","A734",3
"846","T003","A736",0
"847","T003","A738",2
"848","T003","A740",0
"849","T003","A745",4
"850","T003","A746",4
"851","T003","A747",0
"852","T003","A752",3
"853","T003","A753",0
"854","T003","A759",3
"855","T003","A766",2
"856","T003","A769",2
"857","T003","A772",1
"858","T003","A773",3
"859","T003","A775",0
"860","T003","A776",0
"861","T003","A778",0
"862","T003","A779",4
"863","T003","A786",4
"864","T003","A788",1
"865","T003","A789",3
"866","T003","A794",2
"867","T003","A795",2
"868","T004","A005",1
"869","T004","A006",4
"870","T004","A007",2
"871","T004","A011",0
"872","T004","A012",1
"873","T004","A017",1
"874","T004","A019",3
"875","T004","A021",1
"876","T004","A024",2
"877","T004","A030",3
"878","T004","A031",2
"879","T004","A032",0
"880","T004","A034",1
"881","T004","A037",1
"882","T004","A038",0
"883","T004","A039",2
"884","T004","A041",1
"885","T004","A043",3
"886","T004","A045",2
"887","T004","A046",1
"888","T004","A050",0
"889","T004","A051",1
"890","T004","A054",3
"891","T004","A060",2
"892","T004","A062",0
"893","T004","A066",3
"894","T004","A067",2
"895","T004","A069",2
"896","T004","A071",1
"897","T004","A072",3
"898","T004","A074",0
"899","T004","A076",2
"900","T004","A078",1
"901","T004","A080",0
"902","T004","A086",4
"903","T004","A087",2
"904","T004","A092",4
"905","T004","A094",2
"906","T004","A101",3
"907","T004","A106",0
"908","T004","A108",4
"909","T004","A110",1
"910","T004","A111",4
"911","T004","A115",1
"912","T004","A116",4
"913","T004","A117",2
"914","T004","A118",2
"915","T004","A122",2
"916","T004","A124",2
"917","T004","A127",2
"918","T004","A132",4
"919","T004","A135",1
"920","T004","A144",0
"921","T004","A145",3
"922","T004","A147",2
"923","T004","A154",2
"924","T004","A158",3
"925","T004","A159",3
"926","T004","A165",0
"927","T004","A168",1
"928","T004","A172",3
"929","T004","A175",4
"930","T004","A179",1
"931","T004","A181",4
"932","T004","A184",3
"933","T004","A185",0
"934","T004","A188",3
"935","T004","A191",1
"936","T004","A194",4
"937","T004","A196",0
"938","T004","A197",2
"939","T004","A199",0
"940","T004","A202",0
"941","T004","A205",2
"942","T004","A206",0
"943","T004","A207",1
"944","T004","A210",3
"945","T004","A214",2
"946","T004","A216",2
"947","T004","A217",1
"948","T004","A219",4
"949","T004","A223",0
"950","T004","A230",4
"951","T004","A232",2
"952","T004","A236",0
"953","T004","A237",2
"954","T004","A238",4
"955","T004","A239",1
"956","T004","A244",1
"957","T004","A245",1
"958","T004","A249",1
"959","T004","A250",3
"960","T004","A252",0
"961","T004","A253",3
"962","T004","A254",4
"963","T004","A257",0
"964","T004","A260",1
"965","T004","A261",3
"966","T004","A265",0
"967","T004","A270",3
"968","T004","A271",3
"969","T004","A272",1
"970","T004","A280",2
"971","T004","A284",0
"972","T004","A287",0
"973","T004","A298",2
"974","T004","A303",4
"975","T004","A304",1
"976","T004","A305",4
"977","T004","A306",2
"978","T004","A308",3
"979","T004","A310",4
"980","T004","A314",4
"981","T004","A319",2
"982","T004","A320",2
"983","T004","A322",1
"984","T004","A324",0
"985","T004","A325",4
"986","T004","A327",2
"987","T004","A329",0
"988","T004","A333",4
"989","T004","A340",4
"990","T004","A343",0
"991","T004","A349",2
"992","T004","A352",4
"993","T004","A355",3
"994","T004","A358",2
"995","T004","A360",0
"996","T004","A361",1
"997","T004","A363",1
"998","T004","A365",0
"999","T004","A366",4
"1000","T004","A369",1
"1001","T004","A370",2
"1002","T004","A376",4
"1003","T004","A377",3
"1004","T004","A378",4
"1005","T004","A379",3
"1006","T004","A390",4
"1007","T004","A391",2
"1008","T004","A392",1
"1009","T004","A394",3
"1010","T004","A399",3
"1011","T004","A400",1
"1012","T004","A410",2
"1013","T004","A417",0
"1014","T004","A421",2
"1015","T004","A422",0
"1016","T004","A424",1
"1017","T004","A426",0
"1018","T004","A429",0
"1019","T004","A430",4
"1020","T004","A432",3
"1021","T004","A433",4
"1022","T004","A437",3
"1023","T004","A441",0
"1024","T004","A442",0
"1025","T004","A443",4
"1026","T004","A444",2
"1027","T004","A445",2
"1028","T004","A447",1
"1029","T004","A455",4
"1030","T004","A464",4
"1031","T004","A468",1
"1032","T004","A469",2
"1033","T004","A473",2
"1034","T004","A478",2
"1035","T004","A483",1
"1036","T004","A485",1
"1037","T004","A488",4
"1038","T004","A489",2
"1039","T004","A491",4
"1040","T004","A494",4
"1041","T004","A496",2
"1042","T004","A497",0
"1043","T004","A501",0
"1044","T004","A502",1
"1045","T004","A504",4
"1046","T004","A505",1
"1047","T004","A506",4
"1048","T004","A507",3
"1049","T004","A509",2
"1050","T004","A513",3
"1051","T004","A517",1
"1052","T004","A518",4
"1053","T004","A520",3
"1054","T004","A522",3
"1055","T004","A523",1
"1056","T004","A529",3
"1057","T004","A530",2
"1058","T004","A537",1
"1059","T004","A538",1
"1060","T004","A540",3
"1061","T004","A541",3
"1062","T004","A548",0
"1063","T004","A549",1
"1064","T004","A551",4
"1065","T004","A552",3
"1066","T004","A553",2
"1067","T004","A557",4
"1068","T004","A558",4
"1069","T004","A564",0
"1070","T004","A565",4
"1071","T004","A566",3
"1072","T004","A574",0
"1073","T004","A581",3
"1074","T004","A587",4
"1075","T004","A591",1
"1076","T004","A594",4
"1077","T004","A599",1
"1078","T004","A606",3
"1079","T004","A609",3
"1080","T004","A610",0
"1081","T004","A614",4
"1082","T004","A616",4
"1083","T004","A618",0
"1084","T004","A619",1
"1085","T004","A620",3
"1086","T004","A627",4
"1087","T004","A628",3
"1088","T004","A632",3
"1089","T004","A636",0
"1090","T004","A637",4
"1091","T004","A640",0
"1092","T004","A641",2
"1093","T004","A643",1
"1094","T004","A645",2
"1095","T004","A647",0
"1096","T004","A648",4
"1097","T004","A649",2
"1098","T004","A652",0
"1099","T004","A653",3
"1100","T004","A658",4
"1101","T004","A659",4
"1102","T004","A662",1
"1103","T004","A663",3
"1104","T004","A664",0
"1105","T004","A666",3
"1106","T004","A668",4
"1107","T004","A670",3
"1108","T004","A673",3
"1109","T004","A675",3
"1110","T004","A683",3
"1111","T004","A687",2
"1112","T004","A688",3
"1113","T004","A690",3
"1114","T004","A692",4
"1115","T004","A694",2
"1116","T004","A696",0
"1117","T004","A697",0
"1118","T004","A698",1
"1119","T004","A699",3
"1120","T004","A701",0
"1121","T004","A708",0
"1122","T004","A709",3
"1123","T004","A711",1
"1124","T004","A719",1
"1125","T004","A722",0
"1126","T004","A724",0
"1127","T004","A727",0
"1128","T004","A732",4
"1129","T004","A733",1
"1130","T004","A734",1
"1131","T004","A736",2
"1132","T004","A738",2
"1133","T004","A740",1
"1134","T004","A745",2
"1135","T004","A746",4
"1136","T004","A747",3
"1137","T004","A752",3
"1138","T004","A753",4
"1139","T004","A759",0
"1140","T004","A766",2
"1141","T004","A769",0
"1142","T004","A772",3
"1143","T004","A773",1
"1144","T004","A775",4
"1145","T004","A776",1
"1146","T004","A779",0
"1147","T004","A786",0
"1148","T004","A788",3
"1149","T004","A789",0
"1150","T004","A794",2
"1151","T004","A795",4
"1152","T005","A005",2
"1153","T005","A006",0
"1154","T005","A007",1
"1155","T005","A011",2
"1156","T005","A012",0
"1157","T005","A017",0
"1158","T005","A019",2
"1159","T005","A021",4
"1160","T005","A024",2
"1161","T005","A029",4
"1162","T005","A030",1
"1163","T005","A031",2
"1164","T005","A032",0
"1165","T005","A034",2
"1166","T005","A037",2
"1167","T005","A038",4
"1168","T005","A039",4
"1169","T005","A041",4
"1170","T005","A043",3
"1171","T005","A045",3
"1172","T005","A046",4
"1173","T005","A050",2
"1174","T005","A051",0
"1175","T005","A054",4
"1176","T005","A060",3
"1177","T005","A062",1
"1178","T005","A066",2
"1179","T005","A067",1
"1180","T005","A069",2
"1181","T005","A072",1
"1182","T005","A074",1
"1183","T005","A076",0
"1184","T005","A078",0
"1185","T005","A080",1
"1186","T005","A086",4
"1187","T005","A087",3
"1188","T005","A092",3
"1189","T005","A094",3
"1190","T005","A101",1
"1191","T005","A106",0
"1192","T005","A108",2
"1193","T005","A110",4
"1194","T005","A111",0
"1195","T005","A115",2
"1196","T005","A116",3
"1197","T005","A117",2
"1198","T005","A118",3
"1199","T005","A122",4
"1200","T005","A124",1
"1201","T005","A127",2
"1202","T005","A132",1
"1203","T005","A135",4
"1204","T005","A144",3
"1205","T005","A145",3
"1206","T005","A147",2
"1207","T005","A154",0
"1208","T005","A158",0
"1209","T005","A159",0
"1210","T005","A165",3
"1211","T005","A168",1
"1212","T005","A172",4
"1213","T005","A175",2
"1214","T005","A179",3
"1215","T005","A181",3
"1216","T005","A185",3
"1217","T005","A188",2
"1218","T005","A191",1
"1219","T005","A194",4
"1220","T005","A196",3
"1221","T005","A197",1
"1222","T005","A204",0
"1223","T005","A205",1
"1224","T005","A206",4
"1225","T005","A207",1
"1226","T005","A210",2
"1227","T005","A214",1
"1228","T005","A216",2
"1229","T005","A217",1
"1230","T005","A219",2
"1231","T005","A223",0
"1232","T005","A228",3
"1233","T005","A230",3
"1234","T005","A232",4
"1235","T005","A236",4
"1236","T005","A237",4
"1237","T005","A238",0
"1238","T005","A239",4
"1239","T005","A244",1
"1240","T005","A245",2
"1241","T005","A249",4
"1242","T005","A250",3
"1243","T005","A252",0
"1244","T005","A253",4
"1245","T005","A254",0
"1246","T005","A257",4
"1247","T005","A260",3
"1248","T005","A261",3
